snack_name,snack_type,refill_date,empty_date,days_lasted
Seaweed Packs,Savory,2/20/2025,2/27/2025,6
Nongshim Tonkotsu Cup Noodles,Savory,2/20/2025,3/1/2025,7
Wang Wang Snowflake Biscuit,Sweet,2/20/2025,2/27/2025,6
Ritz Peanut Butter,Sweet,2/20/2025,3/11/2025,14
Sakura Mochi Candy,Sweet,2/20/2025,2/21/2025,2
Bumble bee chicken salad cracker,Savory,2/25/2025,3/10/2025,10
Bumble bee tuna salad cracker,Savory,2/26/2025,3/11/2025,10
Corn Nuts,Savory,3/4/2025,3/19/2025,12
Yoghurt Raisins,Sweet,3/4/2025,3/19/2025,12
Milano Cookies,Sweet,3/11/2025,3/17/2025,5
Vegan Shin Ramen,Savory,3/11/2025,5/1/2025,38
Sakura Mochi Candy,Sweet,3/11/2025,3/17/2025,5
Ritz Cheese Bites,Savory,3/11/2025,3/18/2025,6
Chips Ahoy Mini,Sweet,3/11/2025,3/17/2025,5
Hawaiian Chips,Savory,3/11/2025,3/17/2025,5
Oreos,Savory,3/11/2025,4/22/2025,31
Wang Wang Snowflake Biscuit,Sweet,3/17/2025,3/20/2025,4
Ruffles chips,Savory,3/17/2025,3/24/2025,6
Yoggies Yoghurt Covered Berries,Sweet,3/19/2025,3/24/2025,4
Nongshim Tonkotsu Cup Noodles,Savory,3/21/2025,3/22/2025,1
Top Ramen Cup Noodles,Savory,3/21/2025,4/16/2025,19
Ritz Cheese Bites,Savory,4/16/2025,4/28/2025,9
Wang Wang Snowflake Biscuit,Sweet,4/5/2025,4/15/2025,7
Wang Wang Snowflake Biscuit,Sweet,4/22/2025,4/24/2025,3
Milano Cookies,Sweet,4/22/2025,5/2/2025,9
Oreos,Savory,3/11/2025,4/27/2025,34
Chips Ahoy ,Sweet,4/22/2025,4/25/2025,4
Lays chips,Savory,4/22/2025,5/21/2025,22
Kettle chips,Savory,4/22/2025,6/12/2025,38
Ruffles chips,Savory,4/22/2025,4/29/2025,6
Fritos chips,Savory,4/22/2025,5/7/2025,12
Pringles mini cups,Savory,4/27/2025,5/14/2025,13
Wang Wang Snowflake Biscuit,Sweet,4/27/2025,5/16/2025,15
Haribo Gummies,Sweet,5/6/2025,5/27/2025,16
UTZ Variety Snack Pack,Savory,5/7/2025,5/11/2025,3
Milano Cookies,Sweet,5/22/2025,6/2/2025,8
Milano Cookies,Sweet,6/16/2025,7/1/2025,12
Oreos,Sweet,6/16/2025,7/14/2025,21
Chips Ahoy,Sweet,6/16/2025,7/10/2025,19
Wang Wang Snowflake Biscuit,Sweet,6/16/2025,6/18/2025,3
Slim Jims,Savory,6/16/2025,6/26/2025,9
Vegan Shin Ramen,Savory,6/16/2025,,-32731
Yoggies Yoghurt Covered Berries,Sweet,6/16/2025,7/1/2025,12
Assorted Chips,Savory,6/16/2025,,-32731
Wang Wang Snowflake Biscuit,Sweet,6/19/2025,6/25/2025,5
Black Forest Gummy Bears,Sweet,7/1/2025,7/27/2025,19
Pistachios,Savory,7/1/2025,7/14/2025,10
Wang Wang Snowflake Biscuit,Sweet,7/1/2025,8/1/2025,24
Pringles mini cups,Savory,7/1/2025,8/14/2025,33
Haribo Gummies,Sweet,7/28/2025,,-32761
Oreos,Sweet,8/13/2025,,-32773
Chips Ahoy,Sweet,8/13/2025,,-32773
Almond and Chocolate Biscotti,Sweet,8/1/2025,,-32765
Seaweed Packs,Savory,8/10/2025,,-32770
Ritz Cheese Bites,Savory,7/15/2025,7/29/2025,11
Ritz Peanut Butter Bites,Sweet,7/15/2025,,-32752
Milano Cookies,Sweet,7/15/2025,8/5/2025,16
